mk_individual_id,faction_id,faction_name,start_date,finish_date,knesset
832,913,",",2017-03-15,,20
64,902,המחנה הציוני,2015-04-15,,20
200,909,מרצ,2015-04-15,,20
768,882,הליכוד,2015-04-15,,20
793,905,ישראל ביתנו,2015-04-15,,20
839,908,יהדות התורה,2015-04-15,,20
900,904,יש עתיד,2015-04-15,,20
938,903,הרשימה המשותפת,2015-04-15,,20
941,906,כולנו,2015-04-15,,20
41,910,"ש""ס",2015-04-15,2016-10-31,20
864,907,הבית היהודי,2015-04-15,2015-10-09,20
849,762,העצמאות ,2011-01-17,2013-02-05,18
8,751,קדימה,2009-02-24,2013-02-05,18
194,743,הבית היהודי,2009-02-24,2013-02-05,18
200,749,מרצ,2009-02-24,2013-02-05,18
208,752,"רע""מ-תע""ל",2009-02-24,2013-02-05,18
756,744,"בל""ד",2009-02-24,2013-02-05,18
768,748,הליכוד,2009-02-24,2013-02-05,18
784,753,"ש""ס",2009-02-24,2013-02-05,18
789,745,"חד""ש",2009-02-24,2013-02-05,18
793,747,ישראל ביתנו,2009-02-24,2013-02-05,18
836,750,העבודה,2009-02-24,2013-02-05,18
840,742,האיחוד הלאומי,2009-02-24,2013-02-05,18
839,746,יהדות התורה,2009-02-24,2011-02-09,18
798,722,הדרך הטובה,2008-10-27,2009-02-24,17
789,630,"חד""ש",2008-07-29,2009-02-24,17
772,622,קדימה,2008-07-14,2009-02-24,17
803,702,צדק לזקן,2008-06-02,2009-02-24,17
799,634,גיל,2007-10-22,2009-02-24,17
730,622,קדימה,2007-10-08,2008-07-14,17
64,624,עבודה,2007-07-01,2009-02-24,17
45,622,קדימה,2007-05-02,2007-10-08,17
793,638,ישראל ביתנו,2007-03-06,2009-02-24,17
788,624,עבודה,2006-11-06,2007-07-01,17
13,636,"רע""מ-תע""ל",2006-04-17,2009-02-24,17
201,640,מרצ,2006-04-17,2009-02-24,17
216,632,יהדות התורה,2006-04-17,2009-02-24,17
713,642,"איחוד לאומי-מפד""ל",2006-04-17,2009-02-24,17
725,690,ליכוד,2006-04-17,2009-02-24,17
751,628,"ש""ס",2006-04-17,2009-02-24,17
756,626,"בל""ד",2006-04-17,2009-02-24,17
197,630,"חד""ש",2006-04-17,2008-07-29,17
803,634,גיל,2006-04-17,2007-10-22,17
773,622,קדימה,2006-04-17,2007-05-02,17
764,638,ישראל ביתנו,2006-04-17,2007-03-06,17
94,624,עבודה,2006-04-17,2006-11-06,17
197,604,"חד""ש - החזית הדמוקרטית לשלום ולשוויון",2006-02-07,2006-04-17,16
208,602,"תע""ל - התנועה הערבית להתחדשות",2006-02-07,2006-04-17,16
201,522,מרצ-יחד והבחירה הדמוקרטית,2005-07-27,2006-04-17,16
94,502,העבודה-מימד-עם אחד,2005-05-23,2006-04-17,16
227,462,"""צל""ש - ציונות, ליברליות ושוויון""",2005-05-18,2006-04-17,16
715,444,ציונות לאומית דתית מתחדשת,2005-05-16,2006-04-17,16
715,442,התחברות,2005-04-04,2005-05-16,16
35,422,דגל התורה,2005-01-13,2006-04-17,16
216,424,אגודת ישראל,2005-01-13,2006-04-17,16
64,42,העבודה-מימד,2005-01-11,2005-06-20,16
194,49,"מפד""ל",2004-12-27,2006-04-17,16
201,62,יחד  (ישראל חברתית דמוקרטית) והבחירה הדמוקרטית,2004-06-15,2005-07-27,16
92,49,"מפד""ל",2004-03-01,2004-12-27,16
744,43,שינוי ,2003-02-27,2006-04-17,16
13,52,"רע""מ-הרשימה הערבית המאוחדת",2003-02-17,2006-04-17,16
29,51,"בל""ד-ברית לאומית דמוקרטית",2003-02-17,2006-04-17,16
63,44,"ש""ס",2003-02-17,2006-04-17,16
197,50,"חד""ש-תע""ל",2003-02-17,2006-04-17,16
725,24,הליכוד,2003-02-17,2006-04-17,16
105,47,עם אחד,2003-02-17,2005-05-23,16
216,48,יהדות התורה המאוחדת,2003-02-17,2005-01-13,16
8,42,העבודה-מימד,2003-02-17,2005-01-10,16
61,49,"מפד""ל",2003-02-17,2004-03-01,16
214,45,האיחוד הלאומי-ישראל ביתנו מולדת-תקומה,2003-02-17,2003-03-26,16
54,43,שינוי ,2003-02-17,2003-02-27,16
6,23,העבודה-מימד,2001-05-15,2003-02-17,15
711,15,מפלגת המרכז,2001-03-08,2003-02-17,15
709,12,גשר,2001-03-07,2003-02-17,15
208,22,"תע""ל-התנועה הערבית להתחדשות",1999-12-21,2003-02-17,15
13,16,"רע""ם",1999-06-07,2003-02-17,15
54,8,שינוי,1999-06-07,2003-02-17,15
57,18,המפלגה הלאומית הערבית,1999-06-07,2003-02-17,15
61,9,"המפד""ל",1999-06-07,2003-02-17,15
91,11,ישראל בעליה,1999-06-07,2003-02-17,15
103,10,יהדות התורה,1999-06-07,2003-02-17,15
105,19,עם אחד,1999-06-07,2003-02-17,15
109,21,חרות-התנועה הלאומית,1999-06-07,2003-02-17,15
121,7,האיחוד הלאומי - ישראל ביתנו,1999-06-07,2003-02-17,15
197,14,חד''ש,1999-06-07,2003-02-17,15
201,6,מרצ,1999-06-07,2003-02-17,15
228,5,"ש""ס",1999-06-07,2003-02-17,15
229,17,הבחירה הדמוקרטית,1999-06-07,2003-02-17,15
29,20,"בל""ד-ברית לאומית דמוקרטית",1999-06-07,1999-12-21,15
